"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","willing_friend_1","willing_romantic_1","wtp","true_1","talk_listen_1","not_judge_1","feel_1","understand_1","body_1","comp_1","comp_2","willing_friend_1.1","willing_romantic_1.1","wtp.1","true_1.1","talk_listen_1.1","not_judge_1.1","feel_1.1","understand_1.1","body_1.1","comp_1.1","comp_2.1","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","Q14","completion_code","completion_code.1","willing_friend_post_1","willing_partner_post_1","wtp_post","true_post_1","talk_listen_post_1","not_judge_post_1","feel_post_1","understand_post_1","body_post_1","comp1_post","comp2_post","willing_friend_post_1.1","willing_partner_post_1.1","wtp_post.1","true_post_1.1","talk_listen_post_1.1","not_judge_post_1.1","feel_post_1.1","understand_post_1.1","body_post_1.1","comp1_post.1","comp2_post.1","believe_q","explain","interaction_type","will_interact","finished_conversation","Create.New.Field.or.Choose.From.Dropdown..."
"11","2022-11-17 04:21:26","2022-11-17 04:43:45","0","Anonymized","100","1339","1","2022-11-17 04:43:45","R_3GcW8ALOgMTTULg","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","100","100","100","2","","2","","5","","35","1","","50",11,"8093-8474-5358-4808","","100","100","8.00","14","87","99","50","88","50","1","2","","","","","","","","","","","","1","the answers were dead on. i know it was a bot but if i wasn't told that i would think it was a human.","human","yes","yes",""
"12","2022-11-17 04:22:34","2022-11-17 04:45:21","0","Anonymized","100","1366","1","2022-11-17 04:45:21","R_1LSDqCRuqOJQCdd","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","29","25","14","2","","1","","1","","25","4","","84",12,"5076-9882-3241-9838","","95","98","6","14","79","84","6","3","50","1","2","","","","","","","","","","","","1","The responses were so natural and specific.","human","yes","yes",""
"13","2022-11-17 04:24:44","2022-11-17 04:45:29","0","Anonymized","100","1245","1","2022-11-17 04:45:30","R_wMOcIgfuv3Qbl7P","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","n/a","1","","3","","54","4","","5",13,"9084-5830-0995-2997","","72","0","5.00","40","60","50","40","60","40","2","2","","","","","","","","","","","","2","The answers seemed scripted and something that looked formal. Spelling was good and sentence structure seemed too good for a human to write.","human","yes","yes",""
"14","2022-11-17 04:24:51","2022-11-17 04:45:34","0","Anonymized","100","1242","1","2022-11-17 04:45:34","R_2TReaeD00wvcFP8","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","71","60","36","2","","1","","1","","26","4","","33",14,"4725-9909-2453-3139","","94","31","1","36","81","71","77","88","19","1","2","","","","","","","","","","","","1","Refreshing and friendly.","human","yes","yes",""
"15","2022-11-17 04:23:31","2022-11-17 04:45:41","0","Anonymized","100","1330","1","2022-11-17 04:45:42","R_XhN1n66bpcHYInL","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","4","4","4","2","","1","","3","","35","1","","82",15,"9405-2502-2652-8961","","79","63","0","38","56","50","50","56","12","1","2","","","","","","","","","","","","2","responses were too fast","human","yes","yes",""
"16","2022-11-17 04:28:00","2022-11-17 04:46:25","0","Anonymized","100","1105","1","2022-11-17 04:46:26","R_25Sl90i1s2Psdor","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","1","","3","","25","1","","100",16,"4420-0244-6868-9191","","100","30","5","0","100","0","0","0","100","1","2","","","","","","","","","","","","1","She responded to everything I said accurately ","human","yes","yes",""
"17","2022-11-17 04:28:11","2022-11-17 04:46:28","0","Anonymized","100","1097","1","2022-11-17 04:46:29","R_UmuaajZ28eDUUjn","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","60","50","50","2","","1","","5","","32","5","","0",17,"2668-6882-6179-1144","","10","0","0","90","0","50","90","100","100","1","2","","","","","","","","","","","","2","Responses were robotic","human","yes","yes",""
"18","2022-11-17 04:28:55","2022-11-17 04:46:42","0","Anonymized","100","1067","1","2022-11-17 04:46:42","R_3I05kDFwWlaXykY","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","71","81","71","2","","1","","3","","33","2","","62",18,"7668-5439-1269-3473","","69","34","1","72","82","60","22","98","100","1","2","","","","","","","","","","","","2","They were very willing to believe absurd things.","human","yes","yes",""
"19","2022-11-17 04:28:31","2022-11-17 04:46:48","0","Anonymized","100","1097","1","2022-11-17 04:46:49","R_2TYNNZoXev3Mrpr","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","50","73","75","2","","2","","3","","25","3","","71",19,"9351-1996-9061-6909","","68","6","3.50","2","89","86","8","34","92","1","2","","","","","","","","","","","","2","They seemed like a chatbot, and repeated some things multiple times.","human","yes","yes",""
"20","2022-11-17 04:21:44","2022-11-17 04:47:53","0","Anonymized","100","1568","1","2022-11-17 04:47:54","R_RRGOaq3jW66Hlol","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","22","21","20","2","","2","","4","","35","4","","90",20,"7982-8124-1015-0252","","90","86","8","20","88","90","20","20","100","1","2","","","","","","","","","","","","1","I thought this way because the person seem to be responsive to my question and most of their replies seem to be spontaneous and relevant to our conversation. It was also mentioned in the study that I would be interacting with a human.","human","yes","yes",""
"21","2022-11-17 04:27:58","2022-11-17 04:49:10","0","Anonymized","100","1272","1","2022-11-17 04:49:11","R_32IR6s6EJzMZlQl","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","100","86","86","2","","2","","3","","35","5","","100",21,"3219-5345-8502-5485","","99","27","5.00","95","91","87","100","90","91","1","2","","","","","","","","","","","","1","its real human ,friendly ,easy to intract","human","yes","yes",""
"22","2022-11-17 04:28:17","2022-11-17 04:50:40","0","Anonymized","100","1342","1","2022-11-17 04:50:40","R_1mQuKYUsFwEBEjM","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","10","30","20","2","","1","","2","","51","3","","90",22,"7490-5643-2744-7574","","40","0","0","60","60","20","50","60","100","1","2","","","","","","","","","","","","2","It seemed like canned responses. She did not initiate any real questions unless prompted. Also, as soon as I entered something, she immediately began responding without even having time to read what I asked. It was obvious I was speaking with a bot, albeit a fairly advanced one.","human","yes","yes",""
"23","2022-11-17 04:21:46","2022-11-17 04:51:38","0","Anonymized","100","1791","1","2022-11-17 04:51:38","R_OkzxFKCv1fMDruF","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","62","63","61","2","","1","","3","","33","4","","0",23,"2811-4729-4298-2281","","0","0","0","100","0","0","100","100","100","1","2","","","","","","","","","","","","2","they kept repeating","human","yes","yes",""
"24","2022-11-17 04:29:00","2022-11-17 04:53:10","0","Anonymized","100","1449","1","2022-11-17 04:53:10","R_2rqLBwAm0FQVpff","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","100","100","100","2","","1","","3","","60","3","","100",24,"9416-7881-2008-6735","","100","91","10","0","100","100","100","100","98","1","2","","","","","","","","","","","","1","The real-time solutions and quick response time that a chatbot integrates are better. Even with high volume of customer queries, chatbots can offer the required solutions in no time. Being available at all times is a definite strength of chatbots over humans","human","yes","yes",""
"25","2022-11-17 04:47:32","2022-11-17 04:54:13","0","Anonymized","100","400","1","2022-11-17 04:54:13","R_3DuQD9CHBxqnn19","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",25,"893-29-48","","","","","","","","","","","","","","","","","","","","","","","","","","human","yes","",""
"26","2022-11-17 04:30:00","2022-11-17 04:54:44","0","Anonymized","100","1484","1","2022-11-17 04:54:45","R_7aHmItaItujrzxv","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","90","74","79","2","","2","","1","","47","4","","71",26,"6720-6183-1592-4771","","88","80","5","87","68","74","84","61","59","1","2","","","","","","","","","","","","2","I'm interacting with chatbot.","human","yes","yes",""
"27","2022-11-17 04:24:27","2022-11-17 04:55:49","0","Anonymized","100","1882","1","2022-11-17 04:55:49","R_2uVYAK5gGH2Y15t","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","74","73","53","2","","2","","3","","44","4","","12",27,"2308-1909-5488-2279","","50","15","0","55","36","24","21","20","97","1","2","","","","","","","","","","","","1","The conversation didn't seem too stilted as I would expect with a chatbot.","human","yes","yes",""
"28","2022-11-17 04:31:20","2022-11-17 04:56:11","0","Anonymized","100","1491","1","2022-11-17 04:56:12","R_AHWdu9ccmOtxngZ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","77","71","71","2","","2","","1","","40","5","","84",28,"9377-2061-3900-9627","","87","67","5.00","51","68","69","72","65","50","1","2","","","","","","","","","","","","1","It is very excellent.","human","yes","yes",""
"29","2022-11-17 04:32:10","2022-11-17 04:56:25","0","Anonymized","100","1454","1","2022-11-17 04:56:26","R_3lxfDCEmBQHK1Ms","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","92","10","9","2","","2","","3","","46","4","","87",29,"8264-1668-1275-3885","","100","100","5","64","86","86","85","90","92","1","2","","","","","","","","","","","","1","I felt I am talking with a human.","human","yes","yes",""
"30","2022-11-17 04:21:28","2022-11-17 05:00:02","0","Anonymized","100","2313","1","2022-11-17 05:00:02","R_30jYGyU4UC7s2Zh","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","83","85","83","2","","1","","3","","30","7","","88",30,"1423-6210-3482-6875","","97","95","10","23","100","93","32","100","62","2","2","","","","","","","","","","","","2","NICE EXPERIENCE","human","yes","yes",""
"31","2022-11-17 04:37:07","2022-11-17 05:03:02","0","Anonymized","100","1554","1","2022-11-17 05:03:03","R_2y3Ow8bXAyRUYUS","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","100","0","0","2","","2","","3","","28","5","","100",31,"4420-2249-8337-5419","","91","100","8","7","94","18","26","15","99","1","2","","","","","","","","","","","","2","It replies me within a second","human","yes","yes",""
"32","2022-11-17 05:12:00","2022-11-17 05:12:22","0","Anonymized","100","22","1","2022-11-17 05:12:23","R_31NULO9ffnBEc5z","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",32,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","2022-11-17 04:53:51","2022-11-17 05:15:11","0","Anonymized","100","1279","1","2022-11-17 05:15:12","R_2DM7BF7zUTSxFiX","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","75","85","85","2","","2","","4","","32","3","","70",33,"9875-4788-4810-2756","","70","0","3.00","25","75","80","10","0","0","1","2","","","","","","","","","","","","2","The responses were just a bit too mechanical","human","yes","yes",""
"34","2022-11-17 04:50:02","2022-11-17 05:21:41","0","Anonymized","100","1899","1","2022-11-17 05:21:42","R_2b2HxduiGok83du","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","100","100","100","2","","1","","3","","49","5","","100",34,"0711-5086-4834-2895","","100","100","10","0","100","100","50","100","100","1","2","","","","","","","","","","","","2","I like human chatbot","human","yes","yes",""
"35","2022-11-17 04:53:26","2022-11-17 05:22:50","0","Anonymized","100","1763","1","2022-11-17 05:22:50","R_1FOLkVaEZYKbzMy","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","81","7","0","1","i had one amazon alexa  smart device at my home, i spend my hole with them , i named haer for jenni","1","","1","","40","5","","100",35,"6728-8773-3903-8425","","89","100","10","10","100","99","100","100","100","1","2","","","","","","","","","","","","2","name is jessi talk like a human responding to understand our feeling well motivated ","human","yes","yes",""
"36","2022-11-17 05:19:52","2022-11-17 05:23:27","0","Anonymized","100","215","1","2022-11-17 05:23:28","R_2zcJaHRvv8f8nqM","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",36,"A25UQ2WHJ5AIEQ","","","","","","","","","","","","","","","","","","","","","","","","","","human","yes","",""
"37","2022-11-17 05:19:58","2022-11-17 05:24:30","0","Anonymized","100","271","1","2022-11-17 05:24:30","R_XSohsYULWsw6t7b","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37,"AKMPWFRGTRTI0","","","","","","","","","","","","","","","","","","","","","","","","","","human","yes","",""
"38","2022-11-17 05:16:53","2022-11-17 05:25:13","0","Anonymized","100","499","1","2022-11-17 05:25:13","R_bxRyoRAd5GEUwfv","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38,"A3LIRS1WMRIP9P","","","","","","","","","","","","","","","","","","","","","","","","","","human","yes","",""
"39","2022-11-17 04:58:35","2022-11-17 05:28:35","0","Anonymized","100","1800","1","2022-11-17 05:28:36","R_56cj8HdYEnEJ6WB","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","83","82","81","2","","2","","3","","32","4","","81",39,"4741-6745-4033-2786","","77","79","7","95","71","83","79","76","75","1","2","","","","","","","","","","","","2","Some question didn't understand ","human","yes","yes",""
"40","2022-11-17 05:11:13","2022-11-17 05:30:14","0","Anonymized","100","1140","1","2022-11-17 05:30:15","R_R8qkohjBz8Excn7","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","1","","3","","52","3","","79",40,"3710-4698-6217-9633","","72","20","8","24","91","31","25","10","100","1","2","","","","","","","","","","","","1","They just knew everything I was talking about. They had fast responses to what I said.","human","yes","yes",""
"41","2022-11-17 05:13:48","2022-11-17 05:34:39","0","Anonymized","100","1250","1","2022-11-17 05:34:40","R_1ojXjZ0X7tOjS5e","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","3","4","16","2","","2","","3","","47","3","","5",41,"1311-0726-9134-2380","","70","4","1.99","5","85","75","3","3","90","1","2","","","","","","","","","","","","2","because even though the conversation was positive it felt more ""generic"". they were basic answers from the other person. They were not very detailed ","human","yes","yes",""
"42","2022-11-17 05:14:43","2022-11-17 05:36:11","0","Anonymized","100","1288","1","2022-11-17 05:36:12","R_1dK2soQeNTb9lce","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","4","5","4","2","","1","","3","","67","3","","10",42,"9238-1625-8617-6526","","9","0","0","100","40","50","82","61","100","1","2","","","","","","","","","","","","2","The way the answers were structured. Responses were very generalized.","human","yes","yes",""
"43","2022-11-17 05:12:47","2022-11-17 05:38:01","0","Anonymized","100","1514","1","2022-11-17 05:38:01","R_qX83R1f8FhgSM5r","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","1","9","1","2","","2","","3","","37","4","","65",43,"7675-2400-3364-4539","","45","30","3","65","65","50","20","8","87","1","2","","","","","","","","","","","","1","The responses were very on point to the subject, and I was even asked questions","human","yes","yes",""
